Symbol,Name,"Wtd Alpha",Rank,"Prev Rank",Latest,Change,%Change,"52W High","52W Low","52W %Chg",Time
SNDK,"Sandisk Corp",+712.98,1,1,1791.82,177.43,+10.99%,2354.39,93.54,"+1,712.30%",2026-09-18
TXG,"10X Genomics Inc",+578.75,2,2,76.6,-0.37,-0.48%,79.94,11.16,+477.24%,2026-09-18
ERAS,"Erasca Inc",+474.30,3,3,14.77,-0.57,-3.72%,24.28,1.75,+689.84%,2026-09-18
EDRY,"Eurodry Ltd",+435.73,4,4,68.78,-3.07,-4.27%,73.07,11.87,+429.08%,2026-09-18
TWST,"Twist Bioscience Corp",+420.97,5,5,166.99,11.43,+7.35%,167.05,23.3,+497.46%,2026-09-18
BUUU,"BuUU Group Limited Class A Ordinary Share",+408.73,6,6,46.25,0.25,+0.54%,48.11,5.7,+508.55%,2026-09-18
ORKA,"Oruka Therapeutics Inc",+361.32,7,7,94.96,-2.77,-2.83%,115.51,14.89,+472.74%,2026-09-18
MU,"Micron Technology",+344.83,8,9,1015.8,38.3,+3.92%,1255,154.65,+501.46%,2026-09-18
SYRE,"Spyre Therapeutics Inc",+309.51,9,8,90.25,-2.43,-2.62%,110.18,14.51,+489.10%,2026-09-18
DELL,"Dell Technologies",+290.03,10,10,568.06,-20.34,-3.46%,595.51,110.22,+329.99%,2026-09-18
IOVA,"Iovance Biotherapeutics Inc",+265.37,11,12,10.25,0.23,+2.30%,10.98,1.76,+365.91%,2026-09-18
AXTI,"Axt Inc",+263.39,12,14,70.03,2.28,+3.37%,143.16,3.93,"+1,668.43%",2026-09-18
LITE,"Lumentum Holdings",+258.24,13,17,930.91,37.3,+4.17%,1085.68,144.52,+442.80%,2026-09-18
UMC,"United Microelectronics Corp ADR",+254.54,14,13,24.61,0.14,+0.57%,28.96,6.97,+252.07%,2026-09-18
IMMX,"Immix Biopharma Inc",+253.46,15,11,12.5,-0.22,-1.73%,15.1,1.98,+498.09%,2026-09-18
CLMT,"Calumet Inc",+246.11,16,15,59,-0.05,-0.08%,59.67,17.42,+217.55%,2026-09-18
STX,"Seagate Technology",+243.36,17,22,858.79,55.66,+6.93%,1145,209,+296.41%,2026-09-18
RLAY,"Relay Therapeutics Inc",+233.37,18,16,18.84,-0.35,-1.82%,21.27,4.32,+314.07%,2026-09-18
ASX,"Ase Industrial Holding Ltd ADR",+233.00,19,21,41.63,1.64,+4.10%,45.51,10.93,+262.95%,2026-09-18
PRLD,"Prelude Therapeutics Inc",+229.36,20,32,4.87,0.3,+6.56%,6.83,0.98,+382.18%,2026-09-18
CDNA,"Caredx Inc",+220.17,21,18,53.83,-0.45,-0.83%,55.16,13.95,+264.45%,2026-09-18
SLS,"Sellas Life Sciences Group Inc",+213.85,22,20,11.49,-0.04,-0.35%,15.88,1.39,+613.66%,2026-09-18
ECO,"Okeanis Eco Tankers Corp",+211.16,23,19,84.95,-1.35,-1.56%,87.31,27.74,+181.38%,2026-09-18
MTC,"Mmtec Inc",+210.99,24,24,6.89,0.33,+5.03%,9.1,0.25,+697.92%,2026-09-18
ATEX,"Anterix Inc.",+210.29,25,23,76.99,-0.43,-0.56%,113,17.58,+258.93%,2026-09-18
MRVL,"Marvell Technology Inc",+207.59,26,33,244.25,3.49,+1.45%,329.88,70.68,+229.04%,2026-09-18
FET,"Forum Energy Technologies Inc",+206.12,27,26,82.08,-0.21,-0.26%,87.42,25.07,+199.78%,2026-09-18
SAIH,"Saiheat Limited",+203.69,28,30,25.82,0.09,+0.35%,28.41,5.9,+214.26%,2026-09-18
SMTC,"Semtech Corp",+202.39,29,40,185,6.81,+3.82%,185.46,57.5,+202.53%,2026-09-18
AMD,"Adv Micro Devices",+201.59,30,37,559.82,14.73,+2.70%,584.73,154.78,+254.50%,2026-09-18
GLBS,"Globus Maritime Limi",+200.95,31,31,3.92,-0.01,-0.25%,4.05,1.01,+245.77%,2026-09-18
CGEM,"Cullinan Therapeutics Inc",+199.94,32,28,21.08,-0.28,-1.31%,23.19,5.68,+232.49%,2026-09-18
DRTS,"Alpha Tau Medical Ltd Cl A",+199.43,33,27,15.24,-0.25,-1.61%,15.79,3.43,+300.00%,2026-09-18
CHRN,"Chronoscale Holdings Corp",+198.34,34,36,20.42,0.29,+1.44%,30,3.5,+377.10%,2026-09-18
ETON,"Eton Pharmaceutcials Inc",+197.27,35,25,55.5,-1.57,-2.75%,66.37,14.27,+200.65%,2026-09-18
INTC,"Intel Corp",+194.59,36,35,108.6,-0.2,-0.18%,142.35,28.73,+255.25%,2026-09-18
MRNA,"Moderna Inc",+192.60,37,29,154.04,-4.03,-2.55%,176.66,22.28,+505.27%,2026-09-18
PXS,"Pyxis Tankers",+191.55,38,38,7.36,0.02,+0.27%,8.3,2.56,+156.22%,2026-09-18
WDC,"Western Digital Corp",+191.44,39,49,441.36,17.49,+4.13%,799.87,105.32,+319.74%,2026-09-18
ANRO,"Alto Neuroscience Inc",+189.05,40,34,30.27,-0.71,-2.29%,37.48,3.59,+636.50%,2026-09-18
HPE,"Hewlett Packard Enterprise",+182.57,41,41,60.76,-0.28,-0.46%,64.25,19.84,+140.73%,2026-09-18
CLYM,"Climb Bio Inc",+181.13,42,43,14.05,-0.01,-0.07%,18.33,1.54,+527.23%,2026-09-18
VLO,"Valero Energy Corp",+180.64,43,45,413.28,0.75,+0.18%,416.66,155.29,+152.23%,2026-09-18
PBF,"PBF Energy Inc",+179.66,44,47,77.19,0.030000000000001,+0.04%,82.61,25.62,+151.76%,2026-09-18
NESR,"National Energy Services Reunited Corp",+177.55,45,48,32.58,0.09,+0.28%,36.94,9.92,+212.97%,2026-09-18
PLSE,"Pulse Biosciences CS",+174.80,46,67,53.87,3.26,+6.44%,58.9,12.56,+190.87%,2026-09-18
MBX,"Mbx Biosciences Inc",+174.15,47,46,62.91,-0.98,-1.53%,72.64,9.66,+524.73%,2026-09-18
DK,"Delek US Holdings",+173.90,48,39,78.12,-3.43,-4.21%,82.27,25.85,+143.21%,2026-09-18
VSTS,"Vestis Corporation",+170.51,49,51,13.82,-0.02,-0.14%,16.9,4.02,+233.01%,2026-09-18
GORO,"Goldgroup Mining Inc",+169.74,50,54,3.59,0.08,+2.28%,4.24,0.62,+391.78%,2026-09-18
EWTX,"Edgewise Therapeutics Inc",+167.61,51,44,45.32,-1.62,-3.45%,48.51,14.09,+191.82%,2026-09-18
CORT,"Corcept Therapeutics",+166.60,52,42,110.29,-4.57,-3.98%,126.38,28.66,+38.21%,2026-09-18
GH,"Guardant Health Inc",+166.35,53,50,179.38,-3.72,-2.03%,183.51,55.38,+205.07%,2026-09-18
MGRT,"Mega Fortune Company Limited",+165.59,54,63,121.98,3.98,+3.37%,170,3.72,"+2,678.59%",2026-09-18
NAT,"Nordic American Tanker Shipping Ltd",+164.87,55,57,8.25,0.1,+1.23%,8.33,3.06,+150.00%,2026-09-18
ANAB,"Anaptysbio Inc",+164.13,56,52,55.2,0.14,+0.25%,72.36,13.66,+292.79%,2026-09-18
MPC,"Marathon Petroleum",+161.75,57,58,424.89,2.93,+0.69%,428,161.93,+129.63%,2026-09-18
ABSI,"Absci Corp",+159.48,58,72,9.65,0.38,+4.10%,12.06,2.24,+258.74%,2026-09-18
PSIG,"PS International Group Ltd",+159.00,59,59,4.15,-0.29,-6.53%,12,1.03,+1.22%,2026-09-18
PURR,"Hyperliquid Strategies Inc",+158.72,60,97,14.09,1.26,+9.82%,14.47,3.01,N/A,2026-09-18
XNCR,"Xencor Inc",+157.98,61,61,24.72,0.13,+0.53%,30.61,9.8,+146.46%,2026-09-18
REPL,"Replimune Group Inc",+156.20,62,68,13.07,0.2,+1.55%,16.33,1.5,+277.75%,2026-09-18
LBRX,"Lb Pharmaceuticals Inc",+155.73,63,65,42.47,0.33,+0.78%,50.16,13.36,+165.11%,2026-09-18
DINO,"HF Sinclair Corp",+154.59,64,60,115.9,-0.72,-0.62%,117.7,45.71,+118.23%,2026-09-18
PARR,"Par Pacific Holdings Inc",+154.04,65,53,84.37,-2.12,-2.45%,87.72,33.21,+136.79%,2026-09-18
ROIV,"Roivant Sciences Ltd",+151.68,66,64,39.77,-0.21,-0.53%,42.5,14.5,+163.55%,2026-09-18
ACHV,"Achieve Life Sciences Inc",+150.50,67,71,7.98,0.07,+0.88%,8.64,2.62,+178.05%,2026-09-18
MAAS,"Maase Inc ADR",+149.03,68,87,16.82,0.62,+3.83%,24.9,2.85,+373.80%,2026-09-18
GRAL,"Grail Inc",+148.51,69,74,80.77,0.82,+1.03%,118.84,39.29,+104.02%,2026-09-18
RNG,"Ringcentral Inc",+147.49,70,55,71.86,-2.92,-3.90%,77.95,24.14,+125.55%,2026-09-18
ANDG,"Andersen Group Inc Cl A",+146.91,71,73,54.99,0.17,+0.31%,57.62,18.12,N/A,2026-09-18
COHU,"Cohu Inc",+146.17,72,N/A,57.75,2.75,+5.00%,74.6,18.67,+148.17%,2026-09-18
FORM,"Formfactor Inc",+145.62,73,N/A,118.38,6.85,+6.14%,160.27,34.8,+228.47%,2026-09-18
ILMN,"Illumina Inc",+145.02,74,66,239.62,-5.56,-2.27%,250.06,88,+132.57%,2026-09-18
DNTH,"Dianthus Therapeutics Inc",+144.93,75,56,96.81,-4.31,-4.26%,117.88,32.22,+149.06%,2026-09-18
DFTX,"Definium Therapeutics Inc",+144.76,76,79,38.81,0.13,+0.34%,49.7,8.77,+309.39%,2026-09-18
DWSN,"Dawson Geophscl",+144.48,77,77,3.25,0,0.00%,7.85,1.5,+99.39%,2026-09-18
RVMD,"Revolution Medicines Inc",+144.15,78,62,190.95,-5.99,-3.04%,224.31,42.18,+322.27%,2026-09-18
NEO,"Neogenomics Inc",+144.00,79,78,19.91,0.02,+0.10%,20.02,7.07,+130.97%,2026-09-18
OPHC,"Optimumbank Hlds",+143.31,80,82,9.33,0.11,+1.19%,10.68,3.91,+125.91%,2026-09-18
INSW,"International Seaways Inc",+142.63,81,80,111.15,0.62,+0.56%,113.14,42.26,+127.67%,2026-09-18
AP,"Ampco-Pittsburgh Corp",+141.74,82,70,8.35,-0.15,-1.76%,12.81,1.75,+226.17%,2026-09-18
TOP,"Zhong Yang Financial Group Limited",+140.59,83,81,15.21,0.01,+0.07%,17.42,3.06,+115.74%,2026-09-18
TER,"Teradyne Inc",+140.56,84,N/A,371.47,18.34,+5.19%,487.91,117.54,+212.63%,2026-09-18
TEN,"Tsakos Energy Navigation Ltd",+140.04,85,76,52.09,-0.72,-1.36%,53.84,20.5,+124.53%,2026-09-18
IRDM,"Iridium Comm Inc",+139.91,86,75,46.77,-0.71,-1.50%,57.18,15.65,+149.44%,2026-09-18
OBIO,"Orchestra Biomed Hldgs Inc",+139.05,87,N/A,6.08,0.3,+5.19%,6.3,2.2,+142.23%,2026-09-18
LFST,"Lifestance Health Group Inc",+137.38,88,85,12.57,-0.04,-0.32%,13.56,4.77,+134.08%,2026-09-18
NRXS,"Neuraxis Inc",+135.61,89,89,7.61,-0.02,-0.26%,9.33,2.21,+191.57%,2026-09-18
GTE,"Gran Tierra Energy Inc",+135.27,90,92,10.3,0.06,+0.59%,11.52,3.09,+151.22%,2026-09-18
KRT,"Karat Packaging Inc",+135.26,91,84,49.87,-0.51,-1.01%,50.81,20.61,+104.39%,2026-09-18
VICR,"Vicor Corp",+134.85,92,N/A,222.72,6.33,+2.93%,382.65,47.56,+313.67%,2026-09-18
